1,2.7727498922,4.0650612717
1,3.5496000558,9.9375631201
2,0.6278489826,1.4829883063
2,1.5957357197,10.9237477087
3,3.4781978479,1.9809419034
3,3.6677043573,3.9582309668
4,4.6503894458,0.5172711685
4,4.8364517089,1.3208755184
5,1.5527742483,0.6783165877
5,1.5820360377,0.8192390372
6,1.6943209388,0.8264671495
6,2.2587573330,4.6430916283
7,1.3464472576,0.8881602799
7,3.0871463951,10.4027797589
8,0.3107630547,2.4593683344
8,1.2197031499,10.9266237783
9,4.9613864452,1.7162159978
9,5.5048229679,7.3724113984
10,0.2688804908,3.0742921611
10,1.5973480533,9.0375794575
11,0.3904418259,1.6298141960
11,0.8639099769,5.5739692405
12,4.7513528705,4.5208899515
12,4.7935284588,4.7035875745
13,2.8066345460,3.1224450360
13,3.4694441488,6.9626230358
14,0.0031211115,3.0346127545
14,0.8882129278,9.9957841600
15,3.8123759104,2.6112224749
15,5.5429859367,10.1802675274
16,0.8480301901,4.2202752456
16,1.2138558936,7.9303745529
17,1.7939181612,1.0932990748
17,2.4819907788,3.4144081282
18,4.5263689752,0.0163376272
18,5.3351068448,4.3494361227
19,1.3640250482,3.0178895355
19,1.5074005875,3.9696570634
20,2.5033513944,1.2828535316
20,3.0988371401,2.2987445166
21,3.9369900423,1.1748087029
21,8.3571810759,6.7123797350
22,4.0819487396,1.7998173267
22,7.0999382220,6.7102012726
23,3.6513358589,1.4170226753
23,4.3643162971,2.4758729895
24,3.8550643286,4.9282847717
24,4.8239416633,6.2625528066
25,1.6629492949,2.4606086598
25,5.2632446395,8.7182039483
26,2.9386812793,3.4538877552
26,3.0974927431,3.6821079481
27,4.0278269804,0.7719765909
27,5.1057446944,3.2045564855
28,0.8116153647,2.2164968296
28,3.1971632329,11.5315572243
29,2.9787150949,0.8027185581
29,3.1550515832,0.9738310465
30,4.7360269426,2.0071217457
30,6.8562221267,9.6769667789
31,2.1793022330,2.9835933253
31,6.0659141200,9.7948758447
32,1.3060407938,4.2238858218
32,2.0634337535,4.8329172385
33,4.6705787568,4.5447533069
33,6.2051353370,11.5217029146
34,0.8918957162,0.7207746516
34,1.1677532942,1.0949308511
35,4.9622909341,2.8014628315
35,5.4016636745,3.2416568578
36,3.6095794770,1.9413666015
36,9.9057521848,6.6998742505
37,2.6474101794,1.5128838184
37,7.0101983806,7.9247371556
38,1.4023725566,3.7464253199
38,6.7200535249,12.0659780984
39,0.6273043575,4.8770516905
39,3.0150545557,14.0219527325
40,0.6629607937,1.7825042471
40,5.1414965003,7.5837799749
41,3.7327315314,2.5291708523
41,8.0875070350,11.0611097023
42,1.7077520561,3.9773046971
42,2.3041512075,5.1300052728
43,1.8557497679,3.4394104525
43,5.9928248724,8.6876631882
44,2.0461487815,1.3122334144
44,4.1390241106,4.4850618379
45,4.1681694708,3.1319361446
45,6.7724201194,7.8514434646
46,3.0938671901,1.4312513119
46,6.7182136530,10.0751341679
47,0.8543621110,0.6540833730
47,6.1113171854,7.8845048052
48,0.4504261425,3.7991381355
48,1.4443784419,5.8146991372
49,1.2239039633,3.2058133742
49,1.6240540060,3.9854578175
50,0.4495649157,2.5805052942
50,1.8016775446,4.2579020655
51,0.8853684823,3.4848486574
51,5.9331026449,8.0535402852
52,0.9162402058,2.2127642583
52,3.1667435456,5.9086929292
53,1.4805622971,0.8801418754
53,4.3742089661,4.7758599354
54,3.1416370779,4.7687885695
54,6.7669380273,10.9937181305
55,3.8186171014,0.1073081361
55,5.6443229173,2.7028728232
56,2.5638120146,2.8639856779
56,6.1065808009,10.4412243237
57,3.4236360556,4.9768136012
57,7.0177767344,12.3416869068
58,1.5413293185,0.8388753149
58,3.1071135503,3.4342977871
59,1.4610814846,2.5263328498
59,7.6044953341,7.8672623387
60,1.9181026354,2.0468551289
60,2.0381420491,2.2795197074
61,1.5354055828,4.6909677497
61,5.7607757911,11.9202388457
62,2.0620015917,2.4578647684
62,5.7598894214,5.6617296673
63,2.2534973377,3.5134866563
63,2.6830753194,4.4460695231
64,1.1562803307,1.8184089069
64,4.9444665266,6.1956963686
65,4.5914000947,1.7486608434
65,5.2758456642,3.1042691865
66,4.1042919744,4.6823274663
66,9.3001562917,12.2692244020
67,4.7580858501,3.6224298815
67,9.1512759708,9.4145102639
68,4.1473491267,4.1447090329
68,5.1132225575,5.2364700517
69,1.1786911448,2.4419933478
69,2.3158622646,4.1808163553
70,3.0135795747,2.8383214805
70,5.3481121243,7.1699426197
